campaign_id,model,seed,universe,total_steps,cumulative_return,sharpe_ratio,max_drawdown,mean_reward,asset_coverage,topm_hit_rate,candidate_hit_rate,time_to_first_promising,mean_latency_ms,episodes_to_convergence,train_reward_last,train_reward_mean,n_train_steps,timestamp_utc,duration_seconds,rotation_p
rotation_p0.00_v7,S_p0.00,7,nivel2,50000,0.17726776942778175,0.009570878631067974,0.4047693786159073,0.0354535538855563,1.0,0.17222222222222222,0.40793650793650793,4.0,2.0429348412786594,9.0,0.19166208302805232,0.09159399133826826,50000,2026-06-10T15:10:35Z,156.3797523999965,0.0
rotation_p0.10_v7,S_p0.10,7,nivel2,50000,1.0665745606251855,0.056083629078100494,0.2126816355830279,0.21331491212503714,1.0,0.20634920634920634,0.46825396825396826,4.0,2.2110040476353974,17.0,0.10717856094984177,0.10507865839890332,50000,2026-06-10T15:12:50Z,134.8765110000022,0.1
rotation_p0.25_v7,S_p0.25,7,nivel2,50000,-0.12699118095860346,-0.006987801125252177,0.5938712555870355,-0.025398236191720724,1.0,0.16904761904761906,0.4380952380952381,15.0,2.252565873086929,-1.0,0.16266178526401714,0.09489479036638486,50000,2026-06-10T15:15:43Z,171.8722254000022,0.25
rotation_p0.50_v7,S_p0.50,7,nivel2,50000,0.5565390479663772,0.03233997866288941,0.30778841889419617,0.11130780959327538,1.0,0.2007936507936508,0.4452380952380952,13.0,0.9540619046299345,7.0,0.13076546863420135,0.0885101304478027,50000,2026-06-10T15:17:55Z,131.00518899999588,0.5
rotation_p0.75_v7,S_p0.75,7,nivel2,50000,0.35626139220735376,0.018548241153668137,0.31337537770089396,0.07125227844147075,1.0,0.18095238095238095,0.46190476190476193,3.0,0.8861280157332889,1.0,-0.01849828094312228,0.09766767602545368,50000,2026-06-10T15:19:01Z,66.35953029999655,0.75
rotation_p1.00_v7,S_p1.00,7,nivel2,50000,0.9208523784345829,0.05143890134426506,0.2510106847413708,0.18417047568691652,1.0,0.18968253968253967,0.4492063492063492,16.0,0.9264194443526249,12.0,0.1205722827582029,0.10924458708778945,50000,2026-06-10T15:20:08Z,66.3052400000015,1.0
rotation_p0.00_v7,S_p0.00,99,nivel2,50000,0.3997840710167109,0.021554112349618886,0.23372933681928684,0.07995681420334216,0.9666666666666667,0.14523809523809525,0.4357142857142857,9.0,0.8433887300992547,12.0,0.1944318636352394,0.09264011108987034,50000,2026-06-10T15:21:12Z,63.68389820000448,0.0
rotation_p0.10_v7,S_p0.10,99,nivel2,50000,0.6367895596929487,0.03213439226593498,0.34973691957182496,0.12735791193858978,1.0,0.16904761904761906,0.4357142857142857,5.0,0.8426005555867007,-1.0,0.1048107217557388,0.08152488335742192,50000,2026-06-10T15:22:14Z,62.252355500000704,0.1
rotation_p0.25_v7,S_p0.25,99,nivel2,50000,0.6773929276552696,0.036978864869137776,0.22746945836995072,0.13547858553105396,1.0,0.17539682539682538,0.43333333333333335,5.0,1.0432848412338422,22.0,0.22245890373224034,0.09649520259683328,50000,2026-06-10T15:23:20Z,65.84936480000033,0.25
rotation_p0.50_v7,S_p0.50,99,nivel2,50000,0.20684061687022587,0.010982164153943959,0.32692073849483805,0.041368123374045135,1.0,0.16666666666666666,0.44603174603174606,4.0,0.942442063497433,21.0,0.19935276749235462,0.09933229734164639,50000,2026-06-10T15:24:27Z,65.97272330000123,0.5
